
Analise  de Dados com Kruskal-Wallis para amostras nao parametricas
    algo  ab       tmin nfo     time
1   ED11  16 0.05222654  45 19.48434
2   ED11  19 0.05472679  45 18.21373
3   ED11  15 0.05137355  45 16.68668
4   ED11  18 0.05390268  45 15.69481
5   ED11  16 0.05222654  45 20.31992
6   ED11  15 0.05137355  45 16.75851
7   ED11  15 0.05137355  45 15.25885
8   ED11  13 0.05262561  45 17.58990
9   ED11  17 0.05306956  45 16.53992
10  ED11  18 0.05390268  45 14.78497
11  ED11  14 0.05151055  45 16.75644
12  ED11  16 0.05222654  45 19.15376
13  ED11  16 0.05222654  45 15.17396
14  ED11  14 0.05151055  45 16.55583
15  ED11  52 0.07895378  45 14.89782
16  ED11  27 0.06103419  45 15.44543
17  ED11  15 0.05137355  45 16.93790
18  ED11  -4 0.07407366  45 14.61518
19  ED11  18 0.05390268  45 15.88252
20  ED11   8 0.05830940  45 17.05758
21  ED11  15 0.05137355  45 14.99711
22  ED11  15 0.05137355  45 16.67353
23  ED11  15 0.05137355  45 19.63403
24  ED11  14 0.05151055  45 15.78763
25  ED11  12 0.05374993  45 15.44524
26  ED11  19 0.05472679  45 15.08895
27  ED11  15 0.05137355  45 18.20941
28  ED11  22 0.05714748  45 18.85855
29  ED11  20 0.05554198  45 15.19651
30  ED11  13 0.05262561  45 15.18348
31  ED21  25 0.05949947  45 19.47078
32  ED21  22 0.05714748  45 19.14692
33  ED21  14 0.05151055  45 15.77480
34  ED21  26 0.06026992  45 16.04817
35  ED21  16 0.05222654  45 20.12979
36  ED21  15 0.05137355  45 15.88385
37  ED21  19 0.05472679  45 17.48695
38  ED21   7 0.05946044  45 15.06735
39  ED21  15 0.05137355  45 15.06852
40  ED21  18 0.05390268  45 15.02049
41  ED21  11 0.05488161  45 15.13941
42  ED21   9 0.05716161  45 15.52466
43  ED21  52 0.07895378  45 16.30660
44  ED21  14 0.05151055  45 18.04715
45  ED21  15 0.05137355  45 17.29996
46  ED21  15 0.05137355  45 15.46666
47  ED21  15 0.05137355  45 15.37043
48  ED21  52 0.07895378  45 17.46767
49  ED21  14 0.05151055  45 17.87704
50  ED21  52 0.07895378  45 16.86402
51  ED21  16 0.05222654  45 15.07035
52  ED21  13 0.05262561  45 16.85259
53  ED21  15 0.05137355  45 19.48157
54  ED21  -7 0.07881485  45 17.03198
55  ED21  16 0.05222654  45 15.13970
56  ED21  26 0.06026992  45 18.06062
57  ED21  12 0.05374993  45 18.06269
58  ED21  12 0.05374993  45 15.36373
59  ED21  26 0.06026992  45 15.28541
60  ED21  13 0.05262561  45 14.78335
61  ED31   9 0.05716161  45 18.55785
62  ED31  16 0.05222654  45 18.81144
63  ED31  15 0.05137355  45 16.00398
64  ED31  13 0.05262561  45 15.07646
65  ED31  14 0.05151055  45 15.57676
66  ED31  13 0.05262561  45 14.87588
67  ED31  12 0.05374993  45 18.36272
68  ED31  22 0.05714748  45 15.86587
69  ED31  14 0.05151055  45 16.54618
70  ED31 -39 0.12404339  45 15.58684
71  ED31  22 0.05714748  45 15.78732
72  ED31  16 0.05222654  45 16.09470
73  ED31  20 0.05554198  45 18.54425
74  ED31  19 0.05472679  45 18.50716
75  ED31  23 0.05793859  45 15.46866
76  ED31  16 0.05222654  45 15.93195
77  ED31  31 0.06403614  45 16.16577
78  ED31  27 0.06103419  45 16.72431
79  ED31  12 0.05374993  45 15.36853
80  ED31  13 0.05262561  45 18.41319
81  ED31  52 0.07895378  45 14.90709
82  ED31  21 0.05634866  45 15.42965
83  ED31  14 0.05151055  45 19.70828
84  ED31  16 0.05222654  45 15.77125
85  ED31  14 0.05151055  45 15.62414
86  ED31  26 0.06026992  45 16.88858
87  ED31  19 0.05472679  45 15.09427
88  ED31  16 0.05222654  45 15.25647
89  ED31  21 0.05634866  45 15.21002
90  ED31  14 0.05151055  45 16.47343
91  ED41  15 0.05137355  45 18.65145
92  ED41  14 0.05151055  45 17.89924
93  ED41  52 0.07895378  45 16.30880
94  ED41  14 0.05151055  45 15.03590
95  ED41  15 0.05137355  45 15.58185
96  ED41  17 0.05306956  45 14.81710
97  ED41  15 0.05137355  45 15.01380
98  ED41  15 0.05137355  45 16.79481
99  ED41  15 0.05137355  45 15.74013
