
Analise  de Dados com Kruskal-Wallis para amostras nao parametricas
    algo  ab       tmin nfo     time
1   DE31   9 0.05716161  45 18.55785
2   DE31  16 0.05222654  45 18.81144
3   DE31  15 0.05137355  45 16.00398
4   DE31  13 0.05262561  45 15.07646
5   DE31  14 0.05151055  45 15.57676
6   DE31  13 0.05262561  45 14.87588
7   DE31  12 0.05374993  45 18.36272
8   DE31  22 0.05714748  45 15.86587
9   DE31  14 0.05151055  45 16.54618
10  DE31 -39 0.12404339  45 15.58684
11  DE31  22 0.05714748  45 15.78732
12  DE31  16 0.05222654  45 16.09470
13  DE31  20 0.05554198  45 18.54425
14  DE31  19 0.05472679  45 18.50716
15  DE31  23 0.05793859  45 15.46866
16  DE31  16 0.05222654  45 15.93195
17  DE31  31 0.06403614  45 16.16577
18  DE31  27 0.06103419  45 16.72431
19  DE31  12 0.05374993  45 15.36853
20  DE31  13 0.05262561  45 18.41319
21  DE31  52 0.07895378  45 14.90709
22  DE31  21 0.05634866  45 15.42965
23  DE31  14 0.05151055  45 19.70828
24  DE31  16 0.05222654  45 15.77125
25  DE31  14 0.05151055  45 15.62414
26  DE31  26 0.06026992  45 16.88858
27  DE31  19 0.05472679  45 15.09427
28  DE31  16 0.05222654  45 15.25647
29  DE31  21 0.05634866  45 15.21002
30  DE31  14 0.05151055  45 16.47343
31  DE41  15 0.05137355  45 18.65145
32  DE41  14 0.05151055  45 17.89924
33  DE41  52 0.07895378  45 16.30880
34  DE41  14 0.05151055  45 15.03590
35  DE41  15 0.05137355  45 15.58185
36  DE41  17 0.05306956  45 14.81710
37  DE41  15 0.05137355  45 15.01380
38  DE41  15 0.05137355  45 16.79481
39  DE41  15 0.05137355  45 15.74013
40  DE41  13 0.05262561  45 14.74690
41  DE41  14 0.05151055  45 14.84451
42  DE41  17 0.05306956  45 17.88498
43  DE41   2 0.06523808  45 18.08063
44  DE41  15 0.05137355  45 14.49650
45  DE41  14 0.05151055  45 17.95235
46  DE41  14 0.05151055  45 15.73197
47  DE41  15 0.05137355  45 15.45949
48  DE41  14 0.05151055  45 15.75018
49  DE41  15 0.05137355  45 19.00433
50  DE41  52 0.07895378  45 15.06267
51  DE41  15 0.05137355  45 15.46964
52  DE41  15 0.05137355  45 14.91413
53  DE41  14 0.05151055  45 17.40256
54  DE41  13 0.05262561  45 18.27421
55  DE41  15 0.05137355  45 16.01891
56  DE41  15 0.05137355  45 14.97712
57  DE41  52 0.07895378  45 14.87296
58  DE41  17 0.05306956  45 15.71204
59  DE41  16 0.05222654  45 17.34499
60  DE41  15 0.05137355  45 15.74985
61  DE12  15 0.05137355  45 17.17812
62  DE12  15 0.05137355  45 15.58360
63  DE12  15 0.05137355  45 15.14987
64  DE12  14 0.05151055  45 14.97457
65  DE12  15 0.05137355  45 15.65507
66  DE12  22 0.05714748  45 16.15348
67  DE12  20 0.05554198  45 14.89854
68  DE12  16 0.05222654  45 16.14336
69  DE12  14 0.05151055  45 15.26377
70  DE12  14 0.05151055  45 16.07356
71  DE12  12 0.05374993  45 15.55562
72  DE12  16 0.05222654  45 16.76854
73  DE12  14 0.05151055  45 15.30465
74  DE12  16 0.05222654  45 15.32173
75  DE12  13 0.05262561  45 15.21730
76  DE12  17 0.05306956  45 15.34031
77  DE12  14 0.05151055  45 15.25999
78  DE12  13 0.05262561  45 15.05194
79  DE12  16 0.05222654  45 15.96333
80  DE12  14 0.05151055  45 14.96567
81  DE12  17 0.05306956  45 15.11110
82  DE12  15 0.05137355  45 15.74680
83  DE12  13 0.05262561  45 20.95834
84  DE12  15 0.05137355  45 14.96829
85  DE12  13 0.05262561  45 15.74912
86  DE12  12 0.05374993  45 16.09740
87  DE12  14 0.05151055  45 15.00446
88  DE12  16 0.05222654  45 15.24507
89  DE12  15 0.05137355  45 15.41476
90  DE12  15 0.05137355  45 15.61287
91  DE22   7 0.05946044  45 19.09220
92  DE22  15 0.05137355  45 18.04133
93  DE22  15 0.05137355  45 15.23157
94  DE22  10 0.05601938  45 15.25483
95  DE22  15 0.05137355  45 15.00353
96  DE22  15 0.05137355  45 14.75661
97  DE22  16 0.05222654  45 15.71502
98  DE22  14 0.05151055  45 15.32505
99  DE22  14 0.05151055  45 14.88967
100 DE22  10 0.05601938  45 14.78469
101 DE22  15 0.05137355  45 16.25773
102 DE22  15 0.05137355  45 16.09622
103 DE22  16 0.05222654  45 14.67407
104 DE22  13 0.05262561  45 15.35198
105 DE22  14 0.05151055  45 14.76955
106 DE22  15 0.05137355  45 15.03895
107 DE22  15 0.05137355  45 15.22589
108 DE22  17 0.05306956  45 15.09639
109 DE22  14 0.05151055  45 14.71507
110 DE22  15 0.05137355  45 15.08431
111 DE22  15 0.05137355  45 15.30916
112 DE22  15 0.05137355  45 15.86081
113 DE22  15 0.05137355  45 21.06888
114 DE22  13 0.05262561  45 15.99100
115 DE22  16 0.05222654  45 15.23343
116 DE22  15 0.05137355  45 16.52097
117 DE22  17 0.05306956  45 18.03109
118 DE22  16 0.05222654  45 15.22055
119 DE22  12 0.05374993  45 15.40363
120 DE22  21 0.05634866  45 16.51402
121 DE33   9 0.05716161  45 21.16232
122 DE33  16 0.05222654  45 17.64514
123 DE33  15 0.05137355  45 16.40598
124 DE33  13 0.05262561  45 15.58143
125 DE33  14 0.05151055  45 15.96860
126 DE33  13 0.05262561  45 15.18969
127 DE33  12 0.05374993  45 15.11377
128 DE33  22 0.05714748  45 16.05668
129 DE33  14 0.05151055  45 15.18424
130 DE33 -39 0.12404339  45 16.18848
131 DE33  22 0.05714748  45 15.71806
132 DE33  16 0.05222654  45 16.04773
133 DE33  20 0.05554198  45 15.56470
134 DE33  19 0.05472679  45 15.26825
135 DE33  23 0.05793859  45 15.29396
136 DE33  16 0.05222654  45 15.17834
137 DE33  31 0.06403614  45 15.72676
138 DE33  27 0.06103419  45 15.94843
139 DE33  12 0.05374993  45 16.25129
140 DE33  13 0.05262561  45 15.71562
141 DE33  52 0.07895378  45 16.66663
142 DE33  21 0.05634866  45 18.65901
143 DE33  14 0.05151055  45 20.05886
144 DE33  16 0.05222654  45 16.58292
145 DE33  14 0.05151055  45 15.34322
146 DE33  26 0.06026992  45 15.22620
147 DE33  19 0.05472679  45 16.70790
148 DE33  16 0.05222654  45 14.71701
149 DE33  21 0.05634866  45 18.67653
150 DE33  14 0.05151055  45 14.51823
151 DE43  15 0.05137355  45 17.43702
152 DE43  14 0.05151055  45 15.35717
153 DE43  52 0.07895378  45 15.76625
154 DE43  14 0.05151055  45 16.54144
155 DE43  15 0.05137355  45 15.95054
156 DE43  17 0.05306956  45 15.91311
157 DE43  15 0.05137355  45 14.74493
158 DE43  15 0.05137355  45 16.20901
159 DE43  15 0.05137355  45 16.42026
160 DE43  13 0.05262561  45 15.62609
161 DE43  14 0.05151055  45 14.87753
162 DE43  17 0.05306956  45 15.97794
163 DE43   2 0.06523808  45 16.07025
164 DE43  15 0.05137355  45 14.88902
165 DE43  14 0.05151055  45 15.80040
166 DE43  14 0.05151055  45 14.99537
167 DE43  15 0.05137355  45 17.38606
168 DE43  14 0.05151055  45 15.23623
169 DE43  15 0.05137355  45 15.13221
170 DE43  52 0.07895378  45 14.66887
171 DE43  15 0.05137355  45 15.66868
172 DE43  15 0.05137355  45 15.23224
173 DE43  14 0.05151055  45 18.63652
174 DE43  13 0.05262561  45 18.30740
175 DE43  15 0.05137355  45 15.08583
176 DE43  15 0.05137355  45 15.29051
177 DE43  52 0.07895378  45 16.66876
178 DE43  17 0.05306956  45 15.21244
179 DE43  16 0.05222654  45 15.52198
180 DE43  15 0.05137355  45 15.63603
181 DE14  15 0.05137355  45 17.02769
182 DE14  15 0.05137355  45 18.10529
183 DE14  15 0.05137355  45 14.92798
184 DE14  14 0.05151055  45 15.29280
185 DE14  15 0.05137355  45 15.24154
186 DE14  22 0.05714748  45 16.05000
187 DE14  20 0.05554198  45 15.05334
188 DE14  16 0.05222654  45 16.17474
189 DE14  14 0.05151055  45 14.86348
190 DE14  14 0.05151055  45 15.06805
191 DE14  12 0.05374993  45 15.19813
192 DE14  16 0.05222654  45 15.63474
193 DE14  14 0.05151055  45 14.69349
194 DE14  16 0.05222654  45 15.01892
195 DE14  13 0.05262561  45 14.86969
196 DE14  17 0.05306956  45 14.79030
197 DE14  14 0.05151055  45 15.59086
198 DE14  13 0.05262561  45 15.09796
199 DE14  16 0.05222654  45 14.95966
200 DE14  14 0.05151055  45 14.79210
 [ reached 'max' / getOption("max.print") -- omitted 40 rows ]
     algo                 ab              tmin              nfo    
 Length:240         Min.   :-39.00   Min.   :0.05137   Min.   :45  
 Class :character   1st Qu.: 14.00   1st Qu.:0.05137   1st Qu.:45  
 Mode  :character   Median : 15.00   Median :0.05223   Median :45  
                    Mean   : 16.08   Mean   :0.05436   Mean   :45  
                    3rd Qu.: 16.00   3rd Qu.:0.05307   3rd Qu.:45  
                    Max.   : 52.00   Max.   :0.12404   Max.   :45  
      time      
 Min.   :14.50  
 1st Qu.:15.10  
 Median :15.60  
 Mean   :15.99  
 3rd Qu.:16.25  
 Max.   :21.16  

	Shapiro-Wilk normality test

data:  data[[vardata]]
W = 0.36469, p-value < 2.2e-16


	Shapiro-Wilk normality test

data:  dtdeb1[[vardata]]
W = 0.717, p-value = 2.785e-06


	Shapiro-Wilk normality test

data:  dtded1[[vardata]]
W = 0.717, p-value = 2.785e-06


	Shapiro-Wilk normality test

data:  dtdeb2[[vardata]]
W = 0.65122, p-value = 3.275e-07


	Shapiro-Wilk normality test

data:  dtded2[[vardata]]
W = 0.65122, p-value = 3.275e-07


	Shapiro-Wilk normality test

data:  dtdea3[[vardata]]
W = 0.44579, p-value = 1.498e-09


	Shapiro-Wilk normality test

data:  dtdec3[[vardata]]
W = 0.44579, p-value = 1.498e-09


	Shapiro-Wilk normality test

data:  dtdea4[[vardata]]
W = 0.45229, p-value = 1.737e-09


	Shapiro-Wilk normality test

data:  dtdec4[[vardata]]
W = 0.45229, p-value = 1.737e-09

Warning message:
In leveneTest.default(y = y, group = group, ...) : group coerced to factor.
Levene's Test for Homogeneity of Variance (center = median)
       Df F value Pr(>F)  
group   7  2.0364 0.0515 .
      232                 
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

	Kruskal-Wallis rank sum test

data:  tmin by algo
Kruskal-Wallis chi-squared = 39.027, df = 7, p-value = 1.932e-06

Warning message:
algo was coerced to a factor. 
Dunn (1964) Kruskal-Wallis multiple comparison
  p-values adjusted with the Benjamini-Hochberg method.

    Comparison           Z      P.unadj        P.adj
1  DE12 - DE14  0.00000000 1.0000000000 1.0000000000
2  DE12 - DE22  0.59625102 0.5510075437 0.7714105612
3  DE14 - DE22  0.59625102 0.5510075437 0.8120111170
4  DE12 - DE24  0.59625102 0.5510075437 0.8571228458
