
Analise  de Dados com Kruskal-Wallis para amostras nao parametricas
    algo   a  b       tmin nfo      time
1   ED11  -7 36 0.02996970 864  902.8034
2   ED11  -7 36 0.02996970 871  902.7047
3   ED11  -7 36 0.02996970 899  912.6251
4   ED11  -7 36 0.02996970 923  931.3700
5   ED11  -7 36 0.02996970 930  935.6839
6   ED11  -7 36 0.02996970 910  923.6030
7   ED11  -7 36 0.02996970 937  945.9234
8   ED11  -7 36 0.02996970 893  904.8305
9   ED11  -7 36 0.02996970 777  790.7880
10  ED11  -7 37 0.03012814 900  910.9864
11  ED11  -7 36 0.02996970 951  963.4838
12  ED11  -7 36 0.02996970 850  857.2051
13  ED11  -7 36 0.02996970 935  946.9376
14  ED11  -7 36 0.02996970 895  909.3047
15  ED11  -7 36 0.02996970 940  951.9181
16  ED11  -7 36 0.02996970 868  880.0337
17  ED11  -7 36 0.02996970 913  925.5254
18  ED11  -7 36 0.02996970 875  890.4565
19  ED11  -8 36 0.03004283 907  928.7445
20  ED11  -7 36 0.02996970 893  905.1705
21  ED11  -7 36 0.02996970 753  761.0081
22  ED11  -7 36 0.02996970 890  910.8036
23  ED11  -7 36 0.02996970 881  894.8078
24  ED11  -7 36 0.02996970 929  952.2245
25  ED11  -7 36 0.02996970 930  947.4077
26  ED11  -7 36 0.02996970 866  878.9685
27  ED11  -7 36 0.02996970 885  788.0105
28  ED11  -7 36 0.02996970 841  694.3324
29  ED11  -7 36 0.02996970 864  719.4025
30  ED11  -7 36 0.02996970 914  757.7692
31  ED21  -7 36 0.02996970 881  925.8478
32  ED21  -6 36 0.03041346 973  994.6479
33  ED21  -7 36 0.02996970 937  945.4376
34  ED21 -11 34 0.03153186 907  904.0308
35  ED21  -8 36 0.03004283 927  922.2255
36  ED21  -7 36 0.02996970 975  980.8936
37  ED21  -7 36 0.02996970 950  963.3633
38  ED21  -8 37 0.03059710 943  961.6803
39  ED21 -12 35 0.03136843 886  900.3330
40  ED21  -7 36 0.02996970 963  976.7208
41  ED21  -7 36 0.02996970 954  966.9376
42  ED21  -7 36 0.02996970 898  912.1933
43  ED21  -8 36 0.03004283 938  953.5137
44  ED21  -7 36 0.02996970 939  959.6833
45  ED21  -7 36 0.02996970 938  951.9807
46  ED21  -7 36 0.02996970 956  970.7972
47  ED21  -7 36 0.02996970 950  965.9122
48  ED21  -7 36 0.02996970 919  930.5763
49  ED21  -6 36 0.03041346 942  960.0165
50  ED21  -7 36 0.02996970 939  949.3314
51  ED21  -6 35 0.03074216 871  881.5881
52  ED21  -8 36 0.03004283 904  922.5395
53  ED21  -7 36 0.02996970 940  965.8974
54  ED21  -3 31 0.03402545 938  962.8841
55  ED21  -6 38 0.03041348 972  982.1900
56  ED21  -7 36 0.02996970 932  804.0865
57  ED21  -7 37 0.03012814 900  763.6667
58  ED21  -7 36 0.02996970 881  738.7179
59  ED21  -6 36 0.03041346 892  697.1185
60  ED21  -7 36 0.02996970 967  489.1304
61  ED31  -7 36 0.02996970 722  755.1896
62  ED31  -8 36 0.03004283 755  784.9425
63  ED31  -7 36 0.02996970 813  827.5993
64  ED31  -7 36 0.02996970 812  823.2439
65  ED31  -7 36 0.02996970 790  795.3089
66  ED31  -8 35 0.03074216 823  829.2584
67  ED31  -7 36 0.02996970 781  784.3778
68  ED31  -7 36 0.02996970 858  869.6279
69  ED31  -7 36 0.02996970 734  750.0604
70  ED31  -8 36 0.03004283 830  834.5750
71  ED31  -7 36 0.02996970 828  841.3047
72  ED31  -7 36 0.02996970 780  784.6014
73  ED31  -7 36 0.02996970 853  855.0562
74  ED31  -6 36 0.03041346 719  722.5784
75  ED31  -6 36 0.03041346 783  787.8489
76  ED31  -6 38 0.03041348 808  818.2184
77  ED31  -8 37 0.03059710 713  722.1495
78  ED31  -6 36 0.03041346 762  771.4533
79  ED31  -7 36 0.02996970 834  837.3828
80  ED31  -6 36 0.03041346 829  838.8673
81  ED31  -7 36 0.02996970 738  752.5683
82  ED31  -7 36 0.02996970 759  770.4353
83  ED31  -8 36 0.03004283 742  747.0168
84  ED31  -7 36 0.02996970 838  844.6915
85  ED31  -7 36 0.02996970 823  829.8824
86  ED31  -7 36 0.02996970 743  753.1385
87  ED31  -7 36 0.02996970 789  803.8137
88  ED31  -8 37 0.03059710 737  754.0612
89  ED31  -7 36 0.02996970 816  826.1780
90  ED31  -8 35 0.03074216 734  738.9283
91  ED41  -7 36 0.02996970 884  923.6285
92  ED41  -7 36 0.02996970 952  974.9812
93  ED41  -7 36 0.02996970 928  930.5034
94  ED41  -7 36 0.02996970 855  861.0301
95  ED41  -7 36 0.02996970 946  946.8615
96  ED41  -7 36 0.02996970 952  957.2747
97  ED41  -7 36 0.02996970 934  935.9817
98  ED41  -7 36 0.02996970 909  920.6287
99  ED41  -7 36 0.02996970 873  885.5119
100 ED41  -7 36 0.02996970 914  920.9470
101 ED41  -7 37 0.03012814 919  928.9124
102 ED41  -7 36 0.02996970 851  858.5135
103 ED41  -7 36 0.02996970 921  931.4880
104 ED41  -7 36 0.02996970 918  921.0271
105 ED41  -7 36 0.02996970 925  937.8927
106 ED41  -7 36 0.02996970 950  964.9974
107 ED41  -7 36 0.02996970 927  935.5215
108 ED41  -7 36 0.02996970 854  864.8605
109 ED41  -7 36 0.02996970 955  976.0659
110 ED41  -7 36 0.02996970 943  954.3555
111 ED41  -7 36 0.02996970 904  914.9926
112 ED41  -7 36 0.02996970 864  876.2227
113 ED41  -7 36 0.02996970 923  939.1278
114 ED41  -7 36 0.02996970 903  922.5224
115 ED41  -7 36 0.02996970 939  946.8345
116 ED41  -7 36 0.02996970 901  876.5261
117 ED41  -7 36 0.02996970 896  750.0652
118 ED41  -7 36 0.02996970 870  722.9635
119 ED41  -7 36 0.02996970 914  768.4225
120 ED41  -7 36 0.02996970 961  693.2519
121 ED13  -7 36 0.02996970 890  939.1576
122 ED13  -7 36 0.02996970 871  918.9396
123 ED13  -7 36 0.02996970 876  904.1580
124 ED13  -7 36 0.02996970 862  896.3471
125 ED13  -7 36 0.02996970 915  945.5086
126 ED13  -7 36 0.02996970 965 1000.8996
127 ED13  -7 36 0.02996970 919  948.6378
128 ED13  -7 36 0.02996970 937  969.4117
129 ED13  -8 36 0.03004283 846  877.2360
130 ED13  -7 36 0.02996970 863  900.8701
131 ED13  -7 36 0.02996970 928  959.4410
132 ED13  -7 36 0.02996970 889  924.9297
133 ED13  -7 36 0.02996970 944  983.4429
134 ED13  -7 36 0.02996970 849  890.0292
135 ED13  -7 36 0.02996970 909  951.3691
136 ED13  -7 36 0.02996970 854  889.6587
137 ED13  -7 36 0.02996970 893  929.2851
138 ED13  -7 36 0.02996970 878  922.0476
139 ED13  -7 36 0.02996970 881  926.2509
140 ED13  -7 36 0.02996970 897  933.9668
141 ED13  -7 36 0.02996970 802  838.3926
142 ED13  -7 36 0.02996970 826  742.0933
143 ED13  -7 36 0.02996970 903  770.5042
144 ED13  -7 36 0.02996970 913  783.1676
145 ED13  -7 36 0.02996970 889  762.6622
146 ED13  -8 36 0.03004283 838  727.9296
147 ED13  -7 36 0.02996970 852  735.3907
148 ED13  -7 36 0.02996970 784  672.1448
149 ED13  -7 36 0.02996970 928  798.7769
150 ED13  -7 36 0.02996970 894  770.8673
151 ED23  -6 37 0.03041348 867  937.9882
152 ED23  -7 36 0.02996970 909  962.5691
153 ED23  -7 36 0.02996970 923  958.3670
154 ED23 -11 34 0.03153186 916  950.2436
155 ED23  -7 36 0.02996970 944  990.2991
156 ED23  -7 37 0.03012814 982 1032.4399
157 ED23  -7 36 0.02996970 961 1015.5842
158 ED23  -7 36 0.02996970 926  980.4140
159 ED23  -8 36 0.03004283 913  977.8845
160 ED23  -6 36 0.03041346 947 1003.6487
161 ED23  -7 36 0.02996970 945 1008.5893
162 ED23  -8 36 0.03004283 900  960.6010
163 ED23  -7 36 0.02996970 947 1010.2646
164 ED23 -10 33 0.03234124 946 1005.7571
165 ED23  -7 36 0.02996970 941 1001.8188
166 ED23  -7 36 0.02996970 948 1008.1666
 [ reached 'max' / getOption("max.print") -- omitted 74 rows ]
     algo                 a                 b           tmin              nfo       
 Length:240         Min.   :-12.000   Min.   :30   Min.   :0.02997   Min.   :587.0  
 Class :character   1st Qu.: -7.000   1st Qu.:36   1st Qu.:0.02997   1st Qu.:837.0  
 Mode  :character   Median : -7.000   Median :36   Median :0.02997   Median :894.0  
                    Mean   : -7.125   Mean   :36   Mean   :0.03016   Mean   :869.2  
                    3rd Qu.: -7.000   3rd Qu.:36   3rd Qu.:0.03004   3rd Qu.:928.0  
                    Max.   : -3.000   Max.   :39   Max.   :0.03490   Max.   :982.0  
      time       
