
Analise  de Dados com Kruskal-Wallis para amostras nao parametricas
    algo   a  b       tmin  nfo      time
1   DE11  -7 36 0.02996970  864  902.8034
2   DE11  -7 36 0.02996970  871  902.7047
3   DE11  -7 36 0.02996970  899  912.6251
4   DE11  -7 36 0.02996970  923  931.3700
5   DE11  -7 36 0.02996970  930  935.6839
6   DE11  -7 36 0.02996970  910  923.6030
7   DE11  -7 36 0.02996970  937  945.9234
8   DE11  -7 36 0.02996970  893  904.8305
9   DE11  -7 36 0.02996970  777  790.7880
10  DE11  -7 37 0.03012814  900  910.9864
11  DE11  -7 36 0.02996970  951  963.4838
12  DE11  -7 36 0.02996970  850  857.2051
13  DE11  -7 36 0.02996970  935  946.9376
14  DE11  -7 36 0.02996970  895  909.3047
15  DE11  -7 36 0.02996970  940  951.9181
16  DE11  -7 36 0.02996970  868  880.0337
17  DE11  -7 36 0.02996970  913  925.5254
18  DE11  -7 36 0.02996970  875  890.4565
19  DE11  -8 36 0.03004283  907  928.7445
20  DE11  -7 36 0.02996970  893  905.1705
21  DE11  -7 36 0.02996970  753  761.0081
22  DE11  -7 36 0.02996970  890  910.8036
23  DE11  -7 36 0.02996970  881  894.8078
24  DE11  -7 36 0.02996970  929  952.2245
25  DE11  -7 36 0.02996970  930  947.4077
26  DE11  -7 36 0.02996970  866  878.9685
27  DE11  -7 36 0.02996970  885  788.0105
28  DE11  -7 36 0.02996970  841  694.3324
29  DE11  -7 36 0.02996970  864  719.4025
30  DE11  -7 36 0.02996970  914  757.7692
31  DE21  -7 36 0.02996970  881  925.8478
32  DE21  -6 36 0.03041346  973  994.6479
33  DE21  -7 36 0.02996970  937  945.4376
34  DE21 -11 34 0.03153186  907  904.0308
35  DE21  -8 36 0.03004283  927  922.2255
36  DE21  -7 36 0.02996970  975  980.8936
37  DE21  -7 36 0.02996970  950  963.3633
38  DE21  -8 37 0.03059710  943  961.6803
39  DE21 -12 35 0.03136843  886  900.3330
40  DE21  -7 36 0.02996970  963  976.7208
41  DE21  -7 36 0.02996970  954  966.9376
42  DE21  -7 36 0.02996970  898  912.1933
43  DE21  -8 36 0.03004283  938  953.5137
44  DE21  -7 36 0.02996970  939  959.6833
45  DE21  -7 36 0.02996970  938  951.9807
46  DE21  -7 36 0.02996970  956  970.7972
47  DE21  -7 36 0.02996970  950  965.9122
48  DE21  -7 36 0.02996970  919  930.5763
49  DE21  -6 36 0.03041346  942  960.0165
50  DE21  -7 36 0.02996970  939  949.3314
51  DE21  -6 35 0.03074216  871  881.5881
52  DE21  -8 36 0.03004283  904  922.5395
53  DE21  -7 36 0.02996970  940  965.8974
54  DE21  -3 31 0.03402545  938  962.8841
55  DE21  -6 38 0.03041348  972  982.1900
56  DE21  -7 36 0.02996970  932  804.0865
57  DE21  -7 37 0.03012814  900  763.6667
58  DE21  -7 36 0.02996970  881  738.7179
59  DE21  -6 36 0.03041346  892  697.1185
60  DE21  -7 36 0.02996970  967  489.1304
61  DE31  -7 36 0.02996970  722  755.1896
62  DE31  -8 36 0.03004283  755  784.9425
63  DE31  -7 36 0.02996970  813  827.5993
64  DE31  -7 36 0.02996970  812  823.2439
65  DE31  -7 36 0.02996970  790  795.3089
66  DE31  -8 35 0.03074216  823  829.2584
67  DE31  -7 36 0.02996970  781  784.3778
68  DE31  -7 36 0.02996970  858  869.6279
69  DE31  -7 36 0.02996970  734  750.0604
70  DE31  -8 36 0.03004283  830  834.5750
71  DE31  -7 36 0.02996970  828  841.3047
72  DE31  -7 36 0.02996970  780  784.6014
73  DE31  -7 36 0.02996970  853  855.0562
74  DE31  -6 36 0.03041346  719  722.5784
75  DE31  -6 36 0.03041346  783  787.8489
76  DE31  -6 38 0.03041348  808  818.2184
77  DE31  -8 37 0.03059710  713  722.1495
78  DE31  -6 36 0.03041346  762  771.4533
79  DE31  -7 36 0.02996970  834  837.3828
80  DE31  -6 36 0.03041346  829  838.8673
81  DE31  -7 36 0.02996970  738  752.5683
82  DE31  -7 36 0.02996970  759  770.4353
83  DE31  -8 36 0.03004283  742  747.0168
84  DE31  -7 36 0.02996970  838  844.6915
85  DE31  -7 36 0.02996970  823  829.8824
86  DE31  -7 36 0.02996970  743  753.1385
87  DE31  -7 36 0.02996970  789  803.8137
88  DE31  -8 37 0.03059710  737  754.0612
89  DE31  -7 36 0.02996970  816  826.1780
90  DE31  -8 35 0.03074216  734  738.9283
91  DE41  -7 36 0.02996970  884  923.6285
92  DE41  -7 36 0.02996970  952  974.9812
93  DE41  -7 36 0.02996970  928  930.5034
94  DE41  -7 36 0.02996970  855  861.0301
95  DE41  -7 36 0.02996970  946  946.8615
96  DE41  -7 36 0.02996970  952  957.2747
97  DE41  -7 36 0.02996970  934  935.9817
98  DE41  -7 36 0.02996970  909  920.6287
99  DE41  -7 36 0.02996970  873  885.5119
100 DE41  -7 36 0.02996970  914  920.9470
101 DE41  -7 37 0.03012814  919  928.9124
102 DE41  -7 36 0.02996970  851  858.5135
103 DE41  -7 36 0.02996970  921  931.4880
104 DE41  -7 36 0.02996970  918  921.0271
105 DE41  -7 36 0.02996970  925  937.8927
106 DE41  -7 36 0.02996970  950  964.9974
107 DE41  -7 36 0.02996970  927  935.5215
108 DE41  -7 36 0.02996970  854  864.8605
109 DE41  -7 36 0.02996970  955  976.0659
110 DE41  -7 36 0.02996970  943  954.3555
111 DE41  -7 36 0.02996970  904  914.9926
112 DE41  -7 36 0.02996970  864  876.2227
113 DE41  -7 36 0.02996970  923  939.1278
114 DE41  -7 36 0.02996970  903  922.5224
115 DE41  -7 36 0.02996970  939  946.8345
116 DE41  -7 36 0.02996970  901  876.5261
117 DE41  -7 36 0.02996970  896  750.0652
118 DE41  -7 36 0.02996970  870  722.9635
119 DE41  -7 36 0.02996970  914  768.4225
120 DE41  -7 36 0.02996970  961  693.2519
121 DE12  -7 36 0.02996970  951  495.9711
122 DE12  -7 36 0.02996970  956 1002.2858
123 DE12  -7 36 0.02996970  970  979.1765
124 DE12  -7 36 0.02996970  980  988.8677
125 DE12  -7 36 0.02996970  989  990.6799
126 DE12  -7 36 0.02996970  981  985.9429
127 DE12  -7 36 0.02996970  983  992.1053
128 DE12  -7 36 0.02996970  946  957.8710
129 DE12  -7 36 0.02996970  910  921.3158
130 DE12  -7 36 0.02996970  960  966.8340
131 DE12  -7 36 0.02996970  968  980.7278
132 DE12  -7 36 0.02996970  975  987.0496
133 DE12  -7 36 0.02996970  994 1016.7050
134 DE12  -7 36 0.02996970  966  982.7198
135 DE12  -7 36 0.02996970  964  981.6849
136 DE12  -7 36 0.02996970  923  934.4783
137 DE12  -7 36 0.02996970  973  983.6968
138 DE12  -7 36 0.02996970  942  955.6422
139 DE12  -7 36 0.02996970  976  994.7006
140 DE12  -7 36 0.02996970  972  978.4479
141 DE12  -7 36 0.02996970  928  941.2213
142 DE12  -7 36 0.02996970  951  965.8775
143 DE12  -7 36 0.02996970  957  974.0198
144 DE12  -7 36 0.02996970  960  976.5978
145 DE12  -7 36 0.02996970 1002 1017.4837
146 DE12  -7 36 0.02996970  939  826.1200
147 DE12  -7 36 0.02996970  939  775.8749
148 DE12  -7 36 0.02996970  916  756.3443
149 DE12  -7 36 0.02996970  981  765.4804
150 DE12  -7 36 0.02996970  968  490.1028
151 DE22  -7 36 0.02996970  997  561.6944
152 DE22  -6 38 0.03041348  995 1021.1928
153 DE22  -7 36 0.02996970  982  996.1105
154 DE22  -7 36 0.02996970  980  995.0204
155 DE22  -7 36 0.02996970 1005 1012.0179
156 DE22  -7 36 0.02996970 1005 1019.4281
157 DE22  -8 36 0.03004283  998 1011.4711
158 DE22  -7 36 0.02996970  997 1011.1749
159 DE22  -7 36 0.02996970  961  977.5377
160 DE22  -7 36 0.02996970 1005 1024.5703
161 DE22  -7 36 0.02996970  998 1009.4610
162 DE22  -7 36 0.02996970  967  983.7326
163 DE22  -7 36 0.02996970  998 1017.3600
164 DE22  -7 36 0.02996970  990 1013.6725
165 DE22  -7 36 0.02996970  997 1019.7040
166 DE22  -7 36 0.02996970  986 1004.3751
 [ reached 'max' / getOption("max.print") -- omitted 314 rows ]
     algo                 a                 b              tmin              nfo        
 Length:480         Min.   :-12.000   Min.   :30.00   Min.   :0.02997   Min.   : 587.0  
 Class :character   1st Qu.: -7.000   1st Qu.:36.00   1st Qu.:0.02997   1st Qu.: 893.0  
 Mode  :character   Median : -7.000   Median :36.00   Median :0.02997   Median : 939.0  
                    Mean   : -7.104   Mean   :36.02   Mean   :0.03009   Mean   : 919.3  
                    3rd Qu.: -7.000   3rd Qu.:36.00   3rd Qu.:0.02997   3rd Qu.: 975.0  
                    Max.   : -3.000   Max.   :39.00   Max.   :0.03490   Max.   :1010.0  
      time       
 Min.   : 387.5  
 1st Qu.: 810.2  
 Median : 935.6  
 Mean   : 886.1  
 3rd Qu.: 991.6  
 Max.   :1079.2  

	Shapiro-Wilk normality test

data:  data[[vardata]]
W = 0.32094, p-value < 2.2e-16


	Shapiro-Wilk normality test

data:  dtdea1[[vardata]]
W = 0.27003, p-value = 3.979e-11

Error in shapiro.test(dtdeb1[[vardata]]) : all 'x' values are identical

	Shapiro-Wilk normality test

data:  dtdec1[[vardata]]
W = 0.27538, p-value = 4.402e-11


	Shapiro-Wilk normality test

data:  dtded1[[vardata]]
W = 0.27538, p-value = 4.402e-11


	Shapiro-Wilk normality test

data:  dtdea2[[vardata]]
W = 0.49372, p-value = 4.602e-09


	Shapiro-Wilk normality test

data:  dtdeb2[[vardata]]
W = 0.36175, p-value = 2.427e-10


	Shapiro-Wilk normality test

data:  dtdec2[[vardata]]
W = 0.54058, p-value = 1.479e-08


	Shapiro-Wilk normality test

data:  dtded2[[vardata]]
W = 0.51187, p-value = 7.169e-09


	Shapiro-Wilk normality test

data:  dtdea3[[vardata]]
W = 0.67748, p-value = 7.455e-07

Error in shapiro.test(dtdeb3[[vardata]]) : all 'x' values are identical

	Shapiro-Wilk normality test

data:  dtdec3[[vardata]]
W = 0.88433, p-value = 0.003551

Error in shapiro.test(dtded3[[vardata]]) : all 'x' values are identical

	Shapiro-Wilk normality test

data:  dtdea4[[vardata]]
W = 0.17962, p-value = 7.766e-12


	Shapiro-Wilk normality test

data:  dtdeb4[[vardata]]
W = 0.36175, p-value = 2.427e-10


	Shapiro-Wilk normality test

data:  dtdec4[[vardata]]
W = 0.34671, p-value = 1.783e-10


	Shapiro-Wilk normality test

data:  dtded4[[vardata]]
W = 0.51187, p-value = 7.169e-09

Warning message:
In leveneTest.default(y = y, group = group, ...) : group coerced to factor.
Levene's Test for Homogeneity of Variance (center = median)
       Df F value    Pr(>F)    
group  15  5.2304 1.061e-09 ***
      464                      
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

	Kruskal-Wallis rank sum test

data:  tmin by algo
Kruskal-Wallis chi-squared = 165.18, df = 15, p-value < 2.2e-16

Warning message:
algo was coerced to a factor. 
Dunn (1964) Kruskal-Wallis multiple comparison
  p-values adjusted with the Benjamini-Hochberg method.

     Comparison           Z      P.unadj        P.adj
1   DE11 - DE12  0.55342376 5.799733e-01 7.908726e-01
2   DE11 - DE13  0.03173301 9.746850e-01 1.000000e+00
3   DE12 - DE13 -0.52169074 6.018857e-01 7.683647e-01
4   DE11 - DE14  0.03173301 9.746850e-01 1.000000e+00
5   DE12 - DE14 -0.52169074 6.018857e-01 7.766267e-01
6   DE13 - DE14  0.00000000 1.000000e+00 1.000000e+00
7   DE11 - DE21 -3.53696170 4.047584e-04 1.184659e-03
8   DE12 - DE21 -4.09038546 4.306569e-05 2.583941e-04
9   DE13 - DE21 -3.56869472 3.587642e-04 1.132939e-03
10  DE14 - DE21 -3.56869472 3.587642e-04 1.163559e-03
11  DE11 - DE22 -0.61688979 5.373074e-01 7.585517e-01
12  DE12 - DE22 -1.17031354 2.418748e-01 4.088025e-01
13  DE13 - DE22 -0.64862280 5.165822e-01 7.468659e-01
14  DE14 - DE22 -0.64862280 5.165822e-01 7.559740e-01
15  DE21 - DE22  2.92007192 3.499506e-03 7.240358e-03
16  DE11 - DE23 -3.97678127 6.985436e-05 3.492718e-04
17  DE12 - DE23 -4.53020503 5.892647e-06 5.439367e-05
18  DE13 - DE23 -4.00851429 6.110194e-05 3.187927e-04
19  DE14 - DE23 -4.00851429 6.110194e-05 3.332833e-04
20  DE21 - DE23 -0.43981957 6.600678e-01 8.250847e-01
21  DE22 - DE23 -3.35989149 7.797309e-04 2.126539e-03
22  DE11 - DE24 -3.30467604 9.508624e-04 2.237323e-03
23  DE12 - DE24 -3.85809980 1.142720e-04 4.570880e-04
24  DE13 - DE24 -3.33640906 8.486819e-04 2.121705e-03
25  DE14 - DE24 -3.33640906 8.486819e-04 2.166847e-03
26  DE21 - DE24  0.23228566 8.163161e-01 9.154947e-01
27  DE22 - DE24 -2.68778626 7.192742e-03 1.370046e-02
28  DE23 - DE24  0.67210523 5.015167e-01 7.617975e-01
29  DE11 - DE31 -3.14918428 1.637269e-03 3.638376e-03
30  DE12 - DE31 -3.70260803 2.133944e-04 7.316381e-04
31  DE13 - DE31 -3.18091729 1.468095e-03 3.323990e-03
