
Analise  de Dados com Kruskal-Wallis para amostras nao parametricas
    algo  a  b       tmin  nfo      time
1   DE13 -7 36 0.02996970 1324 1202.4891
2   DE13 -7 36 0.02996970 1315 1375.9578
3   DE13 -7 36 0.02996970 1378 1423.9529
4   DE13 -7 36 0.02996970 1326 1373.1711
5   DE13 -7 36 0.02996970 1337 1392.7501
6   DE13 -7 36 0.02996970 1298 1344.6193
7   DE13 -7 36 0.02996970 1348 1405.1784
8   DE13 -7 36 0.02996970 1373 1417.5567
9   DE13 -7 36 0.02996970 1329 1387.8322
10  DE13 -7 36 0.02996970 1273 1341.0701
11  DE13 -7 36 0.02996970 1391 1447.2916
12  DE13 -7 36 0.02996970 1305 1357.1307
13  DE13 -7 36 0.02996970 1350 1401.9760
14  DE13 -7 36 0.02996970 1344 1383.8368
15  DE13 -7 36 0.02996970 1410 1457.4014
16  DE13 -7 36 0.02996970 1284 1333.4460
17  DE13 -8 36 0.03004283 1349 1395.8605
18  DE13 -7 36 0.02996970 1255 1311.4227
19  DE13 -7 36 0.02996970 1221 1273.9874
20  DE13 -7 36 0.02996970 1257 1312.7472
21  DE13 -7 36 0.02996970 1287 1341.6356
22  DE13 -7 36 0.02996970 1324 1374.9977
23  DE13 -7 36 0.02996970 1365 1423.7618
24  DE13 -7 36 0.02996970 1310 1373.7029
25  DE13 -7 36 0.02996970 1391 1455.6246
26  DE13 -7 36 0.02996970 1350 1215.9961
27  DE13 -7 36 0.02996970 1305 1126.9755
28  DE13 -7 36 0.02996970 1266 1095.8843
29  DE13 -7 36 0.02996970 1364 1177.2360
30  DE13 -7 36 0.02996970 1295 1117.7938
31  DE23 -7 36 0.02996970 1438 1338.5448
32  DE23 -7 36 0.02996970 1428 1486.8789
33  DE23 -7 36 0.02996970 1363 1406.0263
34  DE23 -6 38 0.03041348 1365 1392.3774
35  DE23 -7 36 0.02996970 1429 1482.0013
36  DE23 -7 36 0.02996970 1386 1422.4607
37  DE23 -7 36 0.02996970 1412 1463.1503
38  DE23 -7 36 0.02996970 1416 1464.6028
39  DE23 -7 36 0.02996970 1392 1472.3894
40  DE23 -7 36 0.02996970 1350 1421.3792
41  DE23 -7 36 0.02996970 1402 1458.4508
42  DE23 -8 36 0.03004283 1356 1419.7871
43  DE23 -7 36 0.02996970 1415 1470.8187
44  DE23 -7 36 0.02996970 1320 1363.7783
45  DE23 -7 37 0.03012814 1435 1487.3501
46  DE23 -7 36 0.02996970 1376 1432.2393
47  DE23 -7 36 0.02996970 1342 1391.8669
48  DE23 -8 36 0.03004283 1380 1441.5069
49  DE23 -6 36 0.03041346 1375 1429.7219
50  DE23 -7 36 0.02996970 1375 1430.8193
51  DE23 -7 36 0.02996970 1345 1391.8121
52  DE23 -7 36 0.02996970 1385 1438.5779
53  DE23 -7 36 0.02996970 1409 1467.8984
54  DE23 -7 36 0.02996970 1384 1435.4488
55  DE23 -7 36 0.02996970 1454 1282.5481
56  DE23 -7 37 0.03012814 1426 1226.0216
57  DE23 -7 36 0.02996970 1355 1168.6003
58  DE23 -7 36 0.02996970 1417 1224.1011
59  DE23 -7 36 0.02996970 1415 1125.3443
60  DE23 -7 36 0.02996970 1413  810.1475
61  DE33 -6 37 0.03041348 1231 1106.1405
62  DE33 -7 36 0.02996970 1191 1244.3844
63  DE33 -6 35 0.03074216 1075 1106.0355
64  DE33 -6 37 0.03041348 1109 1143.4545
65  DE33 -7 37 0.03012814 1152 1186.2599
66  DE33 -7 36 0.02996970 1206 1241.0809
67  DE33 -7 36 0.02996970 1080 1112.6536
68  DE33 -8 36 0.03004283 1166 1206.0710
69  DE33 -7 36 0.02996970 1165 1206.8062
70  DE33 -6 37 0.03041348 1142 1175.3627
71  DE33 -7 36 0.02996970 1183 1233.4892
72  DE33 -7 38 0.03068761  927  978.7186
73  DE33 -6 37 0.03041348 1193 1240.6413
74  DE33 -8 36 0.03004283 1096 1140.3370
75  DE33 -6 37 0.03041348 1152 1198.0378
76  DE33 -6 35 0.03074216 1070 1108.4823
77  DE33 -6 38 0.03041348 1204 1238.3429
78  DE33 -7 36 0.02996970 1063 1100.3254
79  DE33 -8 36 0.03004283 1140 1183.3381
80  DE33 -6 36 0.03041346  967 1006.8540
81  DE33 -8 35 0.03074216  957  998.1191
82  DE33 -7 36 0.02996970 1077 1118.5293
83  DE33 -8 36 0.03004283 1151 1192.0066
84  DE33 -6 38 0.03041348 1129 1185.0014
85  DE33 -7 36 0.02996970 1150 1203.3494
86  DE33 -8 36 0.03004283 1258 1295.5047
87  DE33 -6 36 0.03041346 1005 1045.7517
88  DE33 -7 36 0.02996970 1097 1135.4372
89  DE33 -6 36 0.03041346 1115 1155.4063
90  DE33 -7 36 0.02996970 1046 1087.8965
91  DE43 -7 36 0.02996970 1383 1269.4917
92  DE43 -7 36 0.02996970 1371 1412.9777
93  DE43 -7 36 0.02996970 1361 1409.4995
94  DE43 -7 36 0.02996970 1303 1338.5691
95  DE43 -7 36 0.02996970 1281 1315.6679
96  DE43 -7 36 0.02996970 1427 1470.7300
97  DE43 -7 36 0.02996970 1387 1423.9280
98  DE43 -7 36 0.02996970 1398 1432.7150
99  DE43 -7 36 0.02996970 1375 1429.8788
100 DE43 -7 36 0.02996970 1371 1431.8711
101 DE43 -7 36 0.02996970 1385 1439.3607
102 DE43 -7 36 0.02996970 1270 1321.3111
103 DE43 -7 36 0.02996970 1425 1488.7197
104 DE43 -7 36 0.02996970 1271 1313.8723
105 DE43 -7 36 0.02996970 1383 1425.9893
106 DE43 -7 36 0.02996970 1319 1367.4230
107 DE43 -7 36 0.02996970 1375 1431.2037
108 DE43 -7 36 0.02996970 1402 1448.1909
109 DE43 -7 36 0.02996970 1307 1357.8364
110 DE43 -7 36 0.02996970 1308 1358.4489
111 DE43 -7 36 0.02996970 1331 1389.9113
112 DE43 -7 36 0.02996970 1347 1404.0224
113 DE43 -7 36 0.02996970 1338 1395.2741
114 DE43 -7 36 0.02996970 1363 1411.7346
115 DE43 -7 36 0.02996970 1463 1460.4913
116 DE43 -7 36 0.02996970 1414 1221.7892
117 DE43 -7 36 0.02996970 1332 1147.7525
118 DE43 -7 36 0.02996970 1380 1189.6671
119 DE43 -7 36 0.02996970 1384 1196.6868
120 DE43 -7 36 0.02996970 1376 1017.7670
121 DE14 -7 36 0.02996970 1418 1496.8779
122 DE14 -7 36 0.02996970 1466 1532.2842
123 DE14 -7 36 0.02996970 1453 1503.2457
124 DE14 -7 36 0.02996970 1401 1443.8382
125 DE14 -7 36 0.02996970 1438 1482.7004
126 DE14 -7 36 0.02996970 1457 1508.2877
127 DE14 -7 36 0.02996970 1461 1516.0366
128 DE14 -7 36 0.02996970 1449 1519.8291
129 DE14 -7 36 0.02996970 1457 1536.9501
130 DE14 -7 36 0.02996970 1445 1518.2083
131 DE14 -7 36 0.02996970 1471 1541.2014
132 DE14 -7 36 0.02996970 1411 1466.1778
133 DE14 -7 36 0.02996970 1457 1524.6437
134 DE14 -7 36 0.02996970 1425 1488.5022
135 DE14 -7 36 0.02996970 1470 1536.7081
136 DE14 -7 36 0.02996970 1452 1520.8350
137 DE14 -7 36 0.02996970 1445 1501.6890
138 DE14 -7 36 0.02996970 1436 1486.0334
139 DE14 -7 36 0.02996970 1410 1470.6325
140 DE14 -7 36 0.02996970 1425 1490.7187
141 DE14 -7 36 0.02996970 1470 1544.7958
142 DE14 -7 36 0.02996970 1440 1499.1138
143 DE14 -7 36 0.02996970 1490 1514.5189
144 DE14 -7 36 0.02996970 1434 1236.0439
145 DE14 -7 36 0.02996970 1477 1281.6483
146 DE14 -7 36 0.02996970 1442 1244.7641
147 DE14 -7 36 0.02996970 1433 1237.7885
148 DE14 -7 36 0.02996970 1440 1016.2774
149 DE14 -7 36 0.02996970 1468  713.7651
150 DE14 -7 36 0.02996970 1425  601.7702
151 DE24 -7 36 0.02996970 1496 1594.6900
152 DE24 -7 36 0.02996970 1484 1552.5779
153 DE24 -7 36 0.02996970 1481 1529.8244
154 DE24 -7 36 0.02996970 1464 1532.0567
155 DE24 -7 36 0.02996970 1481 1540.5112
156 DE24 -7 36 0.02996970 1488 1545.5426
157 DE24 -7 36 0.02996970 1474 1530.2841
158 DE24 -7 36 0.02996970 1481 1553.9693
159 DE24 -7 36 0.02996970 1489 1576.2781
160 DE24 -7 36 0.02996970 1490 1565.3563
161 DE24 -7 36 0.02996970 1491 1567.2426
162 DE24 -7 36 0.02996970 1444 1511.4454
163 DE24 -7 36 0.02996970 1496 1560.5310
164 DE24 -7 36 0.02996970 1470 1547.2727
165 DE24 -7 36 0.02996970 1511 1584.3739
166 DE24 -7 36 0.02996970 1475 1551.1543
 [ reached 'max' / getOption("max.print") -- omitted 74 rows ]
     algo                 a                b              tmin              nfo            time       
 Length:240         Min.   :-8.000   Min.   :35.00   Min.   :0.02997   Min.   : 927   Min.   : 601.8  
 Class :character   1st Qu.:-7.000   1st Qu.:36.00   1st Qu.:0.02997   1st Qu.:1344   1st Qu.:1240.1  
 Mode  :character   Median :-7.000   Median :36.00   Median :0.02997   Median :1409   Median :1421.4  
                    Mean   :-6.979   Mean   :36.05   Mean   :0.03001   Mean   :1376   Mean   :1354.6  
                    3rd Qu.:-7.000   3rd Qu.:36.00   3rd Qu.:0.02997   3rd Qu.:1464   3rd Qu.:1504.4  
                    Max.   :-6.000   Max.   :38.00   Max.   :0.03074   Max.   :1515   Max.   :1594.7  

	Shapiro-Wilk normality test

data:  data[[vardata]]
W = 0.31909, p-value < 2.2e-16

Warning message:
In leveneTest.default(y = y, group = group, ...) : group coerced to factor.
Levene's Test for Homogeneity of Variance (center = median)
       Df F value    Pr(>F)    
group   7  32.919 < 2.2e-16 ***
      232                      
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

	Kruskal-Wallis rank sum test

data:  tmin by algo
Kruskal-Wallis chi-squared = 117, df = 7, p-value < 2.2e-16

Warning message:
algo was coerced to a factor. 
Dunn (1964) Kruskal-Wallis multiple comparison
  p-values adjusted with the Benjamini-Hochberg method.

    Comparison          Z      P.unadj        P.adj
1  DE13 - DE14  0.3745833 7.079704e-01 1.000000e+00
2  DE13 - DE23 -2.0000377 4.549619e-02 9.799179e-02
3  DE14 - DE23 -2.3746211 1.756697e-02 4.098960e-02
