
Analise  de Dados com Kruskal-Wallis para amostras nao parametricas
    algo  a  b       tmin  nfo      time
1   ED11 -7 36 0.02996970 1347 1406.6966
2   ED11 -7 36 0.02996970 1340 1547.2609
3   ED11 -7 36 0.02996970 1345 1539.3840
4   ED11 -7 36 0.02996970 1341 1527.7972
5   ED11 -7 36 0.02996970 1324 1504.1434
6   ED11 -7 36 0.02996970 1382 1574.5427
7   ED11 -7 36 0.02996970 1338 1530.4288
8   ED11 -7 36 0.02996970 1387 1576.9315
9   ED11 -7 36 0.02996970 1337 1511.7936
10  ED11 -7 36 0.02996970 1342 1554.4249
11  ED11 -7 36 0.02996970 1398 1621.9115
12  ED11 -7 36 0.02996970 1340 1546.1660
13  ED11 -7 36 0.02996970 1365 1581.4001
14  ED11 -7 36 0.02996970 1331 1564.3919
15  ED11 -7 36 0.02996970 1432 1726.4159
16  ED11 -7 36 0.02996970 1327 1612.6873
17  ED11 -7 36 0.02996970 1319 1599.4497
18  ED11 -7 36 0.02996970 1312 1619.0535
19  ED11 -7 36 0.02996970 1266 1538.3898
20  ED11 -7 36 0.02996970 1344 1626.7594
21  ED11 -7 36 0.02996970 1360 1628.6315
22  ED11 -7 36 0.02996970 1377 1647.4071
23  ED11 -7 36 0.02996970 1334 1343.1368
24  ED11 -7 36 0.02996970 1351 1337.2487
25  ED11 -7 36 0.02996970 1429 1417.2108
26  ED11 -7 36 0.02996970 1283 1257.2569
27  ED11 -7 36 0.02996970 1321 1159.9906
28  ED11 -7 36 0.02996970 1312 1114.2656
29  ED11 -7 36 0.02996970 1410 1218.4185
30  ED11 -7 36 0.02996970 1341 1158.5023
31  ED21 -7 36 0.02996970 1390 1457.3062
32  ED21 -7 36 0.02996970 1414 1635.6678
33  ED21 -7 36 0.02996970 1388 1592.3161
34  ED21 -7 36 0.02996970 1381 1591.1536
35  ED21 -7 36 0.02996970 1422 1626.4021
36  ED21 -7 36 0.02996970 1414 1612.7771
37  ED21 -7 36 0.02996970 1410 1615.9654
38  ED21 -7 36 0.02996970 1402 1588.9273
39  ED21 -7 36 0.02996970 1391 1587.8550
40  ED21 -7 36 0.02996970 1421 1636.7438
41  ED21 -7 36 0.02996970 1404 1624.3487
42  ED21 -7 36 0.02996970 1427 1646.4906
43  ED21 -7 36 0.02996970 1417 1640.7329
44  ED21 -7 36 0.02996970 1367 1636.6404
45  ED21 -7 36 0.02996970 1437 1731.1505
46  ED21 -7 36 0.02996970 1400 1681.5825
47  ED21 -7 36 0.02996970 1409 1717.0882
48  ED21 -7 36 0.02996970 1416 1728.9209
49  ED21 -7 36 0.02996970 1360 1645.9204
50  ED21 -7 36 0.02996970 1388 1646.8301
51  ED21 -7 36 0.02996970 1426 1709.1740
52  ED21 -8 33 0.03234123 1398 1687.1025
53  ED21 -8 36 0.03004283 1429 1742.1806
54  ED21 -7 36 0.02996970 1395 1700.7785
55  ED21 -7 36 0.02996970 1474 1579.7246
56  ED21 -7 36 0.02996970 1402 1371.2407
57  ED21 -7 36 0.02996970 1300 1291.6119
58  ED21 -7 36 0.02996970 1390 1283.6543
59  ED21 -7 36 0.02996970 1407 1128.3023
60  ED21 -7 36 0.02996970 1400  848.5040
