"alfa","beta","tmin"
-72,0,0.068956801358762
-71,1,0.067118503499921
-70,2,0.066256319188078
-69,2,0.065249189883558
-68,3,0.064092838993569
-67,4,0.063416050163875
-66,5,0.06223952508009
-65,6,0.061596130479173
-64,6,0.060620906871099
-63,7,0.059464839715457
-62,8,0.05837236517687
-61,9,0.05749796424499
-60,10,0.056004812533214
-59,11,0.054856699360417
-58,12,0.053886518895308
-57,13,0.052990440517835
-56,14,0.052136492414383
-55,15,0.05079461120469
-54,16,0.050037304780676
-53,16,0.049191263938215
-52,17,0.048270866164772
-51,18,0.047600925216296
-50,19,0.046962686007227
-49,19,0.045974318435627
-48,20,0.045388975114624
-47,21,0.044544301281947
-46,21,0.043735847521936
-45,22,0.043165445802878
-44,22,0.04268190453389
-43,23,0.041902318278666
-42,24,0.041535355108304
-41,24,0.040765273766221
-40,25,0.040474908901483
-39,25,0.039774065670277
-38,26,0.039567304962751
-37,26,0.038943504860079
-36,26,0.03863173903936
-35,27,0.038285246413761
-34,27,0.037777062212512
-33,27,0.037666649663849
-32,28,0.037330038986293
-31,28,0.036832569036296
-30,28,0.03672274255358
-29,29,0.036332503797325
-28,29,0.035844365023968
-27,29,0.035800865980365
-26,30,0.035370599855073
-25,30,0.034901657992079
-24,30,0.034901658626883
-23,31,0.034436699972464
-22,31,0.03402545200063
-21,32,0.034000046578543
-20,32,0.033530587531445
-19,32,0.033172203320664
-18,33,0.03311031346747
-17,33,0.032641662210968
-16,33,0.032341242466922
-15,34,0.032234372005836
-14,34,0.031765816443592
-13,34,0.031531862495236
-12,35,0.031368433522446
-11,35,0.030902410618149
-10,35,0.030742160113487
-9,36,0.030512313647216
-8,36,0.030042826216422
-7,36,0.029969703298614
-6,36,0.030413455906885
-5,34,0.031561618761276
-4,33,0.032694120653139
-3,33,0.033810869957218
-2,34,0.034911337709479
-1,29,0.035996242876146
0,28,0.037077966718374
1,33,0.038118097200421
2,26,0.039156429001493
3,30,0.040179774216198
4,24,0.041188626456358
5,28,0.0421826106883
6,22,0.043162991866643
7,21,0.044129744041866
8,33,0.045083097188483
9,19,0.046023415465248
10,34,0.046951121411118
11,18,0.047866316635162
12,18,0.048769817156802
13,16,0.049661675062123
14,16,0.050542252846726
15,15,0.05141192907825
16,20,0.052271023927398
17,22,0.053119845742944
18,12,0.05395887265008
19,12,0.054788373687043
20,15,0.055608666674669
21,10,0.056420077487796
22,9,0.057222942000187
23,9,0.058017581090668
24,8,0.058804318845447
25,7,0.059583472314698
26,7,0.060355354614062
27,6,0.061120274955688
28,5,0.061878540434375
29,5,0.062630454352951
30,4,0.063376316055608
31,3,0.064116422985225
32,3,0.064851071036723
33,5,0.065580552039362
34,6,0.066305156140377
35,7,0.06702517817924
36,9,0.067740899190628
37,10,0.0684526053314
38,12,0.069160582171418
39,13,0.069865116431374
40,15,0.07056649268179
41,16,0.071264992395931
42,18,0.071960903432107
43,21,0.072654509937922
44,22,0.073346099486301
45,23,0.074035959421869
46,25,0.074724383750214
47,27,0.07541166200419
48,28,0.076098092928694
49,30,0.07678397497349
50,33,0.077469612552014
51,34,0.078155313303186
52,35,0.078841390959398
53,38,0.079528165096194
54,40,0.080215961347696
55,59,0.080905112305408
