"alfa","beta","tmin"
-39,26,0.039971015856239
-38,26,0.03940140419165
-37,26,0.039140568916866
-36,27,0.038772200012664
-35,27,0.03824602105239
-34,28,0.038198146596248
-33,28,0.037690125282742
-32,28,0.037295395817117
-31,29,0.037166655043715
-30,29,0.03667350555149
-29,29,0.036395193649471
-28,30,0.036182628994895
-27,30,0.035701634091792
-26,30,0.035509723580907
-25,31,0.035237314739466
-24,31,0.034762543919324
-23,31,0.03463777178173
-22,32,0.034321995337509
-21,32,0.033852166422517
-20,32,0.033779181308738
-19,33,0.033432559411792
-18,33,0.032970448184251
-17,33,0.032932527556812
-16,34,0.032568970254306
-15,34,0.032109940299261
-14,34,0.03209790170685
-13,35,0.031722922833127
-12,35,0.03127435472678
-11,35,0.031273783684016
-10,36,0.030888411626716
-9,36,0.030460954767834
-8,36,0.030460352617518
-7,37,0.030060039605026
-6,37,0.030410761902883
-5,35,0.031560775596312
-4,34,0.032696224463889
-3,32,0.033815684245464
-2,31,0.034918893009716
-1,48,0.036005641435577
0,29,0.037076146079808
1,31,0.038130897609464
2,52,0.039169676055801
3,25,0.040192671521687
4,24,0.041200135342275
5,23,0.042192461600638
6,22,0.043170293337979
7,21,0.044133792543492
8,20,0.045083212525722
9,20,0.046019139758685
10,19,0.04694232058646
11,18,0.047852281603577
12,17,0.04875007585769
13,16,0.049635782525349
14,15,0.050510159910109
15,15,0.05137354503549
16,14,0.05222635741917
17,13,0.053068957704258
18,12,0.053901447392178
19,12,0.05472481106629
20,11,0.055538590762807
21,10,0.056343203914088
22,10,0.057140028521598
23,9,0.05792766503026
24,8,0.058706949445168
25,7,0.059478144008593
26,7,0.06024273771633
27,6,0.060997942830408
28,6,0.061747466781774
29,5,0.062486420761601
30,4,0.063216029553468
31,4,0.063940697689842
32,3,0.064648119688709
33,2,0.065337739859321
34,2,0.066024432057248
35,1,0.066666032369223
36,2,0.06735203364398
37,3,0.068031861050042
38,4,0.06870566651077
39,5,0.069373566047403
40,6,0.070035762543081
41,7,0.070692311547981
42,8,0.071343367519035
43,10,0.07204198121332
44,11,0.07268560303288
45,12,0.073324214142114
46,13,0.073957823224574
47,15,0.07464675766678
48,16,0.075274560955083
49,17,0.075897950608647
50,19,0.076582657319504
51,20,0.077201274303824
52,22,0.077884424787733
53,23,0.07849893853462
54,25,0.07918157165702
55,26,0.07979235250025
56,28,0.08047520971414
57,29,0.081082479559455
58,31,0.081765947228279
59,33,0.082449933200799
60,35,0.083134727526329
61,36,0.083739708466062
62,38,0.084426785329878
63,40,0.085116412521257
64,42,0.085810018285083
65,44,0.086509478054522
66,46,0.087216995517778
67,48,0.087935119257105
68,50,0.088666278092896
